"","baker","series","episode","technical","signature_bake","show_stopper","result","baker_name","baker_age","baker_occupation","hometown"
"176","Stuart",3,2,9,"Bombay BreadChorizo and Spring Onion Naan","Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels","IN","Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire"
"177","Victoria",3,2,7,"Coriander and Lemon NaanGarlic and Parsnip Chapatis","Saffron and Golden Raisin Bagels
Porcini Bagels","IN","Victoria Chester",50,"CEO of the charity Plantlife","Somerset"
"178","Peter",3,2,11,"Fennel and Nigella Seed NaanBannock Bread","Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels","OUT","Peter Maloney",43,"Sales manager","Windsor, Berkshire"
"179","John",3,2,1,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels","STAR BAKER","John Whaite",22,"Law student","Wigan"
"180","Natasha",3,2,NA,NA,NA,NA,"Natasha Stringer",36,"Midwife","Tamworth, Staffordshire"
"181","Brendan",3,3,9,"Apple and Ginger Tarte Tatin","Blackberry, Nectarine and Dragon Fruit Tart","IN","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
"182","Cathryn",3,3,3,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart","IN","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex"
"183","Danny",3,3,2,"Savoury Pear and Roquefort Tarte Tatin","Pineapple, Coconut and Frangipane Tart","IN","Danny Bryden",45,"Intensive care consultant","Sheffield"
"184","John",3,3,6,"Apple and Vanilla Tarte Tatin with Walnut Praline","Berries, Grapes, Pomegranate, and Dragon Fruit Tart","IN","John Whaite",22,"Law student","Wigan"
"185","Manisha",3,3,10,"Cinnamon, Apple and Pear Tarte Tatin","Rum and Tropical Fruit Tart","IN","Manisha Parmar",27,"Nursery nurse","Leicester"
"186","Ryan",3,3,5,"Spiced Pear Tarte Tatin",NA,"IN","Ryan Chong",38,"Photographer","Bristol"
"187","Sarah-Jane",3,3,8,"Caramelised Banana Tarte Tatin","French Apple Tart with Blackberry and Cassis Jam","IN","Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex"
"188","Stuart",3,3,7,"Pear and Almond Tarte Tatin","Raspberry Triple Chocolate Layered Tart","IN","Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire"
"189","Victoria",3,3,4,"Fig, Walnut and Pink Peppercorn Tarte Tatin","Tropical Fruit Tart with Black Pepper Crust","OUT","Victoria Chester",50,"CEO of the charity Plantlife","Somerset"
"190","James",3,3,1,"Apple and Lavender Tarte Tatin","Rose, Lychee and Raspberry Fruit Tart","STAR BAKER","James Morton",21,"Medical student","Hillswick, Shetland Islands"
"191","Natasha",3,3,NA,NA,NA,NA,"Natasha Stringer",36,"Midwife","Tamworth, Staffordshire"
"192","Peter",3,3,NA,NA,NA,NA,"Peter Maloney",43,"Sales manager","Windsor, Berkshire"
"193","Cathryn",3,4,3,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue","IN","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex"
"194","Danny",3,4,2,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise","IN","Danny Bryden",45,"Intensive care consultant","Sheffield"
"195","James",3,4,5,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue","IN","James Morton",21,"Medical student","Hillswick, Shetland Islands"
"196","John",3,4,6,"'Torte Noir' Black Forest Torte with Boozy Cream","Elderflower and Bramble Berry Pavlova","IN","John Whaite",22,"Law student","Wigan"
"197","Manisha",3,4,9,"Almond, Chocolate and Cherry Torte","Tiramisu Layered Meringue Dessert","IN","Manisha Parmar",27,"Nursery nurse","Leicester"
"198","Ryan",3,4,7,"Green Tea Opera Torte","Strawberry, Rose and Pistachio Meringue","IN","Ryan Chong",38,"Photographer","Bristol"
"199","Sarah-Jane",3,4,4,"Chocolate and Almond Truffle Torte","Hazelnut Tiramisu Layered Meringue","IN","Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex"
"200","Stuart",3,4,8,"Black Forest Torte","Choca Blocka Mocha Meringue","OUT","Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire"
"201","Brendan",3,4,1,"Clementine and Chestnut Torte","Pear, Chocolate and Hazelnut Dacquoise","STAR BAKER","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
"202","Natasha",3,4,NA,NA,NA,NA,"Natasha Stringer",36,"Midwife","Tamworth, Staffordshire"
"203","Peter",3,4,NA,NA,NA,NA,"Peter Maloney",43,"Sales manager","Windsor, Berkshire"
"204","Victoria",3,4,NA,NA,NA,NA,"Victoria Chester",50,"CEO of the charity Plantlife","Somerset"
"205","Brendan",3,5,3,"Salmon Coulibiac in a Scandinavian Pastry","All American Chiffon Pie","IN","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
"206","Cathryn",3,5,1,"Full English Wellington","Chocolate and Peanut Butter Pumpkin Pie","IN","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex"
"207","Danny",3,5,7,"Chickpea, Spinach & Mushroom Wellington","Trick or Treat Pumpkin Pie","IN","Danny Bryden",45,"Intensive care consultant","Sheffield"
"208","James",3,5,6,"Four Pig Wellington","Sweet Potato Pie","IN","James Morton",21,"Medical student","Hillswick, Shetland Islands"
"209","John",3,5,2,"Venison and Haggis Wellington","Star-Spangled Pecan Pie","IN","John Whaite",22,"Law student","Wigan"
"210","Sarah-Jane",3,5,4,"Beef Wellington with Parma Ham and Gorgonzola Cheese","Chocolate and Banana Cream Pie","IN","Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex"
"211","Manisha",3,5,5,"Lamb Wellington with Rosemary and Mint","Banana Scotch Pie","OUT","Manisha Parmar",27,"Nursery nurse","Leicester"
"212","Ryan",3,5,8,"Curry Spiced Seabass Wellington","Key Lime Pie","STAR BAKER","Ryan Chong",38,"Photographer","Bristol"
"213","Natasha",3,5,NA,NA,NA,NA,"Natasha Stringer",36,"Midwife","Tamworth, Staffordshire"
"214","Peter",3,5,NA,NA,NA,NA,"Peter Maloney",43,"Sales manager","Windsor, Berkshire"
"215","Stuart",3,5,NA,NA,NA,NA,"Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire"
"216","Victoria",3,5,NA,NA,NA,NA,"Victoria Chester",50,"CEO of the charity Plantlife","Somerset"
"217","Cathryn",3,6,3,"Chocolate Walnut Whip Puddings
Elderflower Sponges","Roasted Vegetable Couscous and Sheep Cheese Strudel","IN","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex"
"218","Danny",3,6,2,"Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants","Leek, Potato, Pistachio and Gruyère Strudel","IN","Danny Bryden",45,"Intensive care consultant","Sheffield"
"219","James",3,6,7,"Banana and Clove PuddingsClootie Dumplings","Strawberry, Rhubarb and Ginger Strudel","IN","James Morton",21,"Medical student","Hillswick, Shetland Islands"
"220","John",3,6,5,"Spicy Toffee PuddingsRaspberry and White Chocolate Puddings","Did not complete due to injury","IN","John Whaite",22,"Law student","Wigan"
"221","Ryan",3,6,6,"Chocolate FondantsSticky Ginger and Date Puddings","Apple, Sour Cherry, Raisin and Mixed Nuts Strudel","IN","Ryan Chong",38,"Photographer","Bristol"
"222","Sarah-Jane",3,6,4,"Sticky Toffee PuddingsGranny's Saucy Lemon Puddings","Sweet Strudel with Sour Cherries","IN","Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex"
"223","Brendan",3,6,1,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel","STAR BAKER","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
"224","Manisha",3,6,NA,NA,NA,NA,"Manisha Parmar",27,"Nursery nurse","Leicester"
"225","Natasha",3,6,NA,NA,NA,NA,"Natasha Stringer",36,"Midwife","Tamworth, Staffordshire"
"226","Peter",3,6,NA,NA,NA,NA,"Peter Maloney",43,"Sales manager","Windsor, Berkshire"
"227","Stuart",3,6,NA,NA,NA,NA,"Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire"
"228","Victoria",3,6,NA,NA,NA,NA,"Victoria Chester",50,"CEO of the charity Plantlife","Somerset"
"229","Brendan",3,7,4,"Chelsea Bunskis","Black Forest Christmas Stollen","IN","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
"230","Cathryn",3,7,5,"Lady Arundel's Manchet Buns","Bonfire Night Tear 'n' Share Brioche","IN","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex"
"231","James",3,7,1,"Easter Chelsea Buns","Whisky Kugelhopf-Brioche Baba","IN","James Morton",21,"Medical student","Hillswick, Shetland Islands"
"232","John",3,7,3,"Cherry and Almond Saffron Buns","Marzipan Stollen","IN","John Whaite",22,"Law student","Wigan"
"233","Ryan",3,7,6,"Lardy Cakes","Char Siu Bao","OUT","Ryan Chong",38,"Photographer","Bristol"
"234","Sarah-Jane",3,7,7,"Orange, Nutmeg and Saffron Buns","Sour Cherry and Dark Chocolate Christmas Plait","OUT","Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex"
"235","Danny",3,7,2,"Bakewell Chelsea Buns","European Christmas Wreath","STAR BAKER","Danny Bryden",45,"Intensive care consultant","Sheffield"
"236","Manisha",3,7,NA,NA,NA,NA,"Manisha Parmar",27,"Nursery nurse","Leicester"
"237","Natasha",3,7,NA,NA,NA,NA,"Natasha Stringer",36,"Midwife","Tamworth, Staffordshire"
"238","Peter",3,7,NA,NA,NA,NA,"Peter Maloney",43,"Sales manager","Windsor, Berkshire"
"239","Stuart",3,7,NA,NA,NA,NA,"Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire"
"240","Victoria",3,7,NA,NA,NA,NA,"Victoria Chester",50,"CEO of the charity Plantlife","Somerset"
"241","Brendan",3,8,2,"Multi-Seed Savoury Crackers","Fantasy Gingerbread Bird House","IN","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
"242","Danny",3,8,4,"Spiced Almond Drinks Crackers","Gingerbread Big Ben","IN","Danny Bryden",45,"Intensive care consultant","Sheffield"
"243","John",3,8,3,"Asian Spice Crackers","Gingerbread Roman Coliseum","IN","John Whaite",22,"Law student","Wigan"
"244","Cathryn",3,8,5,"Cheese and Pickle Crackers","Gingerbread Buckingham Palace","OUT","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex"
"245","James",3,8,1,"Smoky Cayenne, Cumin and Chilli Crackers","Gingerbread Barn","STAR BAKER","James Morton",21,"Medical student","Hillswick, Shetland Islands"
"246","Manisha",3,8,NA,NA,NA,NA,"Manisha Parmar",27,"Nursery nurse","Leicester"
"247","Natasha",3,8,NA,NA,NA,NA,"Natasha Stringer",36,"Midwife","Tamworth, Staffordshire"
"248","Peter",3,8,NA,NA,NA,NA,"Peter Maloney",43,"Sales manager","Windsor, Berkshire"
"249","Ryan",3,8,NA,NA,NA,NA,"Ryan Chong",38,"Photographer","Bristol"
"250","Sarah-Jane",3,8,NA,NA,NA,NA,"Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex"
"251","Stuart",3,8,NA,NA,NA,NA,"Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire"
"252","Victoria",3,8,NA,NA,NA,NA,"Victoria Chester",50,"CEO of the charity Plantlife","Somerset"
"253","Brendan",3,9,3,"Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets","Gateau St. Honoré","IN","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
"254","John",3,9,2,"Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons","Gateau St. Honoré a la Passion","IN","John Whaite",22,"Law student","Wigan"
"255","Danny",3,9,4,"Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat","Rosewater and Lychee St. Honoré","OUT","Danny Bryden",45,"Intensive care consultant","Sheffield"
"256","James",3,9,1,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest","STAR BAKER","James Morton",21,"Medical student","Hillswick, Shetland Islands"
"257","Cathryn",3,9,NA,NA,NA,NA,"Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex"
"258","Manisha",3,9,NA,NA,NA,NA,"Manisha Parmar",27,"Nursery nurse","Leicester"
"259","Natasha",3,9,NA,NA,NA,NA,"Natasha Stringer",36,"Midwife","Tamworth, Staffordshire"
"260","Peter",3,9,NA,NA,NA,NA,"Peter Maloney",43,"Sales manager","Windsor, Berkshire"
"261","Ryan",3,9,NA,NA,NA,NA,"Ryan Chong",38,"Photographer","Bristol"
"262","Sarah-Jane",3,9,NA,NA,NA,NA,"Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex"
"263","Stuart",3,9,NA,NA,NA,NA,"Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire"
"264","Victoria",3,9,NA,NA,NA,NA,"Victoria Chester",50,"CEO of the charity Plantlife","Somerset"
"265","Brendan",3,10,2,"Potato and Pepper Pithivier","Family Reunion Chiffon Cake","Runner-up","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
"266","James",3,10,1,"Spanish Pithivier with Chorizo and Red Pepper","United Chiffon Cakes","Runner-up","James Morton",21,"Medical student","Hillswick, Shetland Islands"
"267","John",3,10,2,"Italian Sausage and Roasted Vegetable Pithivier","Heaven and Hell Chiffon Cake","WINNER","John Whaite",22,"Law student","Wigan"
"268","Cathryn",3,10,NA,NA,NA,NA,"Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex"
"269","Danny",3,10,NA,NA,NA,NA,"Danny Bryden",45,"Intensive care consultant","Sheffield"
"270","Manisha",3,10,NA,NA,NA,NA,"Manisha Parmar",27,"Nursery nurse","Leicester"
"271","Natasha",3,10,NA,NA,NA,NA,"Natasha Stringer",36,"Midwife","Tamworth, Staffordshire"
"272","Peter",3,10,NA,NA,NA,NA,"Peter Maloney",43,"Sales manager","Windsor, Berkshire"
"273","Ryan",3,10,NA,NA,NA,NA,"Ryan Chong",38,"Photographer","Bristol"
"274","Sarah-Jane",3,10,NA,NA,NA,NA,"Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex"
"275","Stuart",3,10,NA,NA,NA,NA,"Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire"
"276","Victoria",3,10,NA,NA,NA,NA,"Victoria Chester",50,"CEO of the charity Plantlife","Somerset"
"277","Ali",4,1,11,"Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake","IN","Ali Imdad",25,"Charity worker","Saltley, Birmingham"
"278","Beca",4,1,8,"Grapefruit Sandwich Cake","Chocolate Cherry Indulgence","IN","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"279","Christine",4,1,3,"Strawberry, Vanilla and Rosewater Summer Basket","Chocolate and Orange 'Fripperous' Hat Cake","IN","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
"280","Deborah",4,1,9,"Pineapple Cake","'Coffee Time'","IN","Deborah Manger",51,"Dentist","Peterborough"
"281","Frances",4,1,7,"Giant Jam Sandwich","Secret Squirrel Cake","IN","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"282","Glenn",4,1,4,"Strawberries and Cream Cake","Almond and Espresso Chocolate Cake","IN","Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
"283","Howard",4,1,6,"Passion Fruit and Coconut Cake","Black Forest Revisited","IN","Howard Middleton",51,"Council Worker","Sheffield"
"284","Kimberley",4,1,10,"Blood Orange Cake","Chocolate, Raspberry & Basil Layer Cake","IN","Kimberley Wilson",30,"Psychologist","London"
"285","Lucy",4,1,2,"Timperley Early Cake","Thyme 'Wildwood' Cake","IN","Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire"
"286","Mark",4,1,5,"Lemon and Poppy Seed Cake","Chocolate Monster","IN","Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes"
"287","Ruby",4,1,12,"Rhubarb and Custard Sandwich Cake","Chocolate and Ginger Night Sky Cake","IN","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
"288","Toby",4,1,13,"Spiced and Iced Carrot Cake","Two Tiered Chocolate Cake","OUT","Toby Waterworth",30,"Web Programmer","Reading, Berkshire"
"289","Robert",4,1,1,"Pecan and Apple Cake","Raspberry Chocolate Cake","STAR BAKER","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
"290","Ali",4,2,9,"Italian Grissini","Sweet and Savoury Yin Yang Bread","IN","Ali Imdad",25,"Charity worker","Saltley, Birmingham"
"291","Beca",4,2,11,"Fennel and Chilli Breadsticks","Five Strand Christmas Wreath","IN","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"292","Christine",4,2,4,"Mediterranean Breadsticks with Oregano","Double Plaited Loaf","IN","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
"293","Deborah",4,2,8,"Fennel & Chilli Breadsticks","Walnut Fleur Loaf","IN","Deborah Manger",51,"Dentist","Peterborough"
"294","Frances",4,2,2,"Giant Matchsticks","Sailor's Knot","IN","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"295","Glenn",4,2,7,"Rosemary and Parmesan Grissini","Harvest Crown","IN","Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
"296","Howard",4,2,10,"Moroccan Breadsticks","Picasso Sun Bread","IN","Howard Middleton",51,"Council Worker","Sheffield"
"297","Kimberley",4,2,1,"Nigella Seed and Parmesan Breadsticks","Peace Bread","IN","Kimberley Wilson",30,"Psychologist","London"
"298","Mark",4,2,6,"Rosemary & Raisin Breadsticks","Sage & Garlic Plait","IN","Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes"
"299","Robert",4,2,5,"Twisty Rye Bread Sticks","Tribute Loaf","IN","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
"300","Lucy",4,2,12,"Grissini with Salt","Roast Tomato Bread","OUT","Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire"
"301","Ruby",4,2,3,"Mexican Breadsticks","White Chocolate and Orange Peacock Bread","STAR BAKER","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
"302","Toby",4,2,NA,NA,NA,NA,"Toby Waterworth",30,"Web Programmer","Reading, Berkshire"
"303","Ali",4,3,5,"Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops","IN","Ali Imdad",25,"Charity worker","Saltley, Birmingham"
"304","Beca",4,3,10,"Orange and Ginger Trifle","Limoncello and Blueberry BurstsMillionaire Shortbread","IN","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"305","Frances",4,3,8,"Apple and Blackberry Crumble Trifle","'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes","IN","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"306","Glenn",4,3,1,"Raspberry and Almond Trifle","Billionaire BouchéesOrange Financiers","IN","Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
"307","Howard",4,3,7,"Caramel and Apple Trifle*","Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits","IN","Howard Middleton",51,"Council Worker","Sheffield"
"308","Kimberley",4,3,6,"Peach, Almond and Ginger Trifle","Chocolate Pistachio FinanciersLemon Bergamot Biscuits","IN","Kimberley Wilson",30,"Psychologist","London"
"309","Robert",4,3,2,"Rhubarb and Orange Trifle","Almond FriandsTurǫn Macaroons","IN","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
"310","Ruby",4,3,3,"Desert Island Trifle","Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes","IN","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
"311","Deborah",4,3,9,"Tropical Trifle*","Canelé Cherry and Chocolate CakesRose Cookies","OUT","Deborah Manger",51,"Dentist","Peterborough"
"312","Mark",4,3,11,"Ginger, Mango and Passion Fruit Trifle","Rose and Pistachio MacaroonsChocolate and Raspberry Bites","OUT","Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes"
"313","Christine",4,3,4,"Caribbean Pina Colada Trifle","Ninety-NinersSachertorte Parcels","STAR BAKER","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
"314","Lucy",4,3,NA,NA,NA,NA,"Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire"
"315","Toby",4,3,NA,NA,NA,NA,"Toby Waterworth",30,"Web Programmer","Reading, Berkshire"
"316","Beca",4,4,2,"Mamgu's Cherry-Apple Tart","Moroccan Vegetable Filo Feast","IN","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"317","Christine",4,4,7,"Granny Rogers' Apple, Plum & Cinnamon Country Pie","Roasted Vegetable Filo Pie with Feta Cheese","IN","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
"318","Frances",4,4,1,"Peach Pie In the Sky","Cherry Tree Baklava Filo Pie","IN","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"319","Glenn",4,4,9,"Apple & Maple Syrup Pie","Spanakopita (Walnut and Feta Cheese)","IN","Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
"320","Howard",4,4,5,"Apple Pie with Sage Pastry","Fresh Fig and Feta Filo Flan","IN","Howard Middleton",51,"Council Worker","Sheffield"
"321","Robert",4,4,3,"Apple and Pear Pie with Thyme","Spanakopita with St George's Mushrooms","IN","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
"322","Ruby",4,4,6,"Apple and Marzipan Pie","Rose, Almond and Raspberry Filo Pie","IN","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
"323","Ali",4,4,8,"Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha","OUT","Ali Imdad",25,"Charity worker","Saltley, Birmingham"
"324","Kimberley",4,4,4,"Pecan and Rosemary Caramel Apple Pie","Chicken, Bacon and Butternut Squash Pie","STAR BAKER","Kimberley Wilson",30,"Psychologist","London"
"325","Deborah",4,4,NA,NA,NA,NA,"Deborah Manger",51,"Dentist","Peterborough"
"326","Lucy",4,4,NA,NA,NA,NA,"Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire"
"327","Mark",4,4,NA,NA,NA,NA,"Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes"
"328","Toby",4,4,NA,NA,NA,NA,"Toby Waterworth",30,"Web Programmer","Reading, Berkshire"
"329","Beca",4,5,5,"Chocolate, Cherry and Hazelnut Brownies","Tiered Macaron and Sugar Dough Biscuit Centrepiece","IN","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"330","Frances",4,5,3,"Millionaire Banoffee Bonus","Biscuit Buttons and Beads","IN","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"331","Glenn",4,5,2,"Apricot and Pistachio Tiffin","Shortbread and Macaron Helter-Skelter","IN","Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
"332","Howard",4,5,8,"Breakfast Traybake","Japanese Pagoda Tea Tower","IN","Howard Middleton",51,"Council Worker","Sheffield"
"333","Kimberley",4,5,7,"Cherry and Almond Bakewell Florentine Slice","Black and White Viennese Biscuit Stack","IN","Kimberley Wilson",30,"Psychologist","London"
"334","Ruby",4,5,6,"Blackberry and Lemon Bakewell Slice","'Dropped Ice-Cream' Biscuit Centrepiece","IN","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
"335","Robert",4,5,4,"Blueberry & Orange Traybake","Dalek","OUT","Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
"336","Christine",4,5,1,"Mixed Berry and Almond Crumble Traybake","Shortbread Bavarian Clock Tower","STAR BAKER","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
"337","Ali",4,5,NA,NA,NA,NA,"Ali Imdad",25,"Charity worker","Saltley, Birmingham"
"338","Deborah",4,5,NA,NA,NA,NA,"Deborah Manger",51,"Dentist","Peterborough"
"339","Lucy",4,5,NA,NA,NA,NA,"Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire"
"340","Mark",4,5,NA,NA,NA,NA,"Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes"
"341","Toby",4,5,NA,NA,NA,NA,"Toby Waterworth",30,"Web Programmer","Reading, Berkshire"
"342","Beca",4,6,6,"Bara Brith","Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns","IN","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"343","Christine",4,6,4,"Oxford Nutty Fruit Loaf","Schnecken BunsVanilla Custard Skolebrød","IN","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
"344","Frances",4,6,2,"Chai Tea Loaf","Hot Cross BriochesRhubarb and Custard Kolaches","IN","Frances Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire"
"345","Glenn",4,6,5,"Devonshire Panettone","Almond and Apricot BriochesSticky Caramel Kanelbullen","IN","Glenn Cosby",37,"English Teacher","Teignmouth, Devon"
"346","Kimberley",4,6,3,"Chai Spiced Ginger and Date Tea Loaf","Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer","IN","Kimberley Wilson",30,"Psychologist","London"
"347","Howard",4,6,7,"Date & Hemp Yorkshire Loaf","Peachy BunsGerman Baumschnecken","OUT","Howard Middleton",51,"Council Worker","Sheffield"
"348","Ruby",4,6,1,"Citrus Tea Loaf","Twisted Swedish KanelbullarSaffron St. Lucia Buns","STAR BAKER","Ruby Tandoh",20,"History of Art and Philosophy Student","Southend, Essex"
"349","Ali",4,6,NA,NA,NA,NA,"Ali Imdad",25,"Charity worker","Saltley, Birmingham"
"350","Deborah",4,6,NA,NA,NA,NA,"Deborah Manger",51,"Dentist","Peterborough"
"351","Lucy",4,6,NA,NA,NA,NA,"Lucy Bellamy",38,"Horticulturist","Grimsby, Lincolnshire"
"352","Mark",4,6,NA,NA,NA,NA,"Mark Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes"
"353","Robert",4,6,NA,NA,NA,NA,"Robert Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire"
"354","Toby",4,6,NA,NA,NA,NA,"Toby Waterworth",30,"Web Programmer","Reading, Berkshire"
"355","Beca",4,7,1,"Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy","Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille","IN","Beca Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire"
"356","Christine",4,7,6,"Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream","Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille","IN","Christine Wallace",66,"Director of an engraving company","Didcot, Oxfordshire"
"357","Kimberley",4,7,4,"Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard","Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette","IN","Kimberley Wilson",30,"Psychologist","London"
