"","baker","series","episode","technical","signature_bake","show_stopper","result","baker_name","baker_age","baker_occupation","hometown"
"32","Jasminder",1,4,2,"Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce","Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble","IN","Jasminder Randhawa",45,"Assistant Credit Control Manager","Birmingham"
"33","Miranda",1,4,1,"Sticky Toffee Pudding","Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble","IN","Miranda Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
"34","Ruth",1,4,4,"Peach and Blueberry Boy Bait","Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings","IN","Ruth Clemens",31,"Retail manager/Housewife","Poynton, Cheshire"
"35","David",1,4,5,"Pear and Walnut Pudding","Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear","OUT","David Chambers",31,"Entrepreneur","Milton Keynes"
"36","Annetha",1,4,NA,NA,NA,NA,"Annetha Mills",30,"Midwife","Essex"
"37","Jonathan",1,4,NA,NA,NA,NA,"Jonathan Shepherd",25,"Research Analyst","St Albans"
"38","Lea",1,4,NA,NA,NA,NA,"Lea Harris",51,"Retired","Midlothian, Scotland"
"39","Louise",1,4,NA,NA,NA,NA,"Louise Brimelow",44,"Police Officer","Manchester"
"40","Mark",1,4,NA,NA,NA,NA,"Mark Whithers",48,"Bus Driver","South Wales"
"41","Edd",1,5,2,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés","IN","Edd Kimber",24,"Debt collector for Yorkshire Bank","Bradford"
"42","Miranda",1,5,1,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés","IN","Miranda Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
"43","Ruth",1,5,3,"Minced Beef Pie","Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés","IN","Ruth Clemens",31,"Retail manager/Housewife","Poynton, Cheshire"
"44","Jasminder",1,5,4,"Chicken and Mushroom Pie","Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés","OUT","Jasminder Randhawa",45,"Assistant Credit Control Manager","Birmingham"
"45","Annetha",1,5,NA,NA,NA,NA,"Annetha Mills",30,"Midwife","Essex"
"46","David",1,5,NA,NA,NA,NA,"David Chambers",31,"Entrepreneur","Milton Keynes"
"47","Jonathan",1,5,NA,NA,NA,NA,"Jonathan Shepherd",25,"Research Analyst","St Albans"
"48","Lea",1,5,NA,NA,NA,NA,"Lea Harris",51,"Retired","Midlothian, Scotland"
"49","Louise",1,5,NA,NA,NA,NA,"Louise Brimelow",44,"Police Officer","Manchester"
"50","Mark",1,5,NA,NA,NA,NA,"Mark Whithers",48,"Bus Driver","South Wales"
"51","Miranda",1,6,NA,"Lemon Cupcake","Eliminated after signature","Runner-up","Miranda Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
"52","Ruth",1,6,NA,"Mint, Ginger and Blackberry Cake",NA,"Runner-up","Ruth Clemens",31,"Retail manager/Housewife","Poynton, Cheshire"
"53","Edd",1,6,NA,"Cinnamon and Banana Cake",NA,"WINNER","Edd Kimber",24,"Debt collector for Yorkshire Bank","Bradford"
"54","Annetha",1,6,NA,NA,NA,NA,"Annetha Mills",30,"Midwife","Essex"
"55","David",1,6,NA,NA,NA,NA,"David Chambers",31,"Entrepreneur","Milton Keynes"
"56","Jasminder",1,6,NA,NA,NA,NA,"Jasminder Randhawa",45,"Assistant Credit Control Manager","Birmingham"
"57","Jonathan",1,6,NA,NA,NA,NA,"Jonathan Shepherd",25,"Research Analyst","St Albans"
"58","Lea",1,6,NA,NA,NA,NA,"Lea Harris",51,"Retired","Midlothian, Scotland"
"59","Louise",1,6,NA,NA,NA,NA,"Louise Brimelow",44,"Police Officer","Manchester"
"60","Mark",1,6,NA,NA,NA,NA,"Mark Whithers",48,"Bus Driver","South Wales"
"61","Ben",2,1,2,"Rhubarb and Custard CupcakesAfter Dinner Cupcakes","Vanilla Sponge with White Chocolate and Raspberry Buttercream","IN","Ben Frazer",31,"Graphic Designer","Northampton"
"62","Ian",2,1,10,"Apple and Cinnamon Cupcakes",NA,"IN","Ian Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire"
"63","Janet",2,1,8,"Raspberry and Cream Cupcakes","Chocolate Marble Cakewith Dark and White Chocolate Truffles","IN","Janet Basu",63,"Teacher of Modern Languages","Formby, Liverpool"
"64","Jason",2,1,6,"Lemon Meringue CupcakesApple and Cinnamon Cupcakes",NA,"IN","Jason White",19,"Civil Engineering Student","Croydon"
"65","Joanne",2,1,11,"Chocolate Orange CupcakesOrange and Cardamom Cupcakes","Chocolate and Strawberry Cake","IN",NA,NA,NA,NA
"66","Mary-Anne",2,1,4,"Banoffee Cupcakes","Chocolate and Raspberry Opera cake","IN","Mary-Anne Boermans",45,"Housewife","Kidderminster, Worcestershire"
"67","Robert",2,1,3,"Blackberry and Vanilla Cupcakeswith Liquorice Frosting","Genoise Layered Mousse Cakewith Chocolate Ganache","IN","Robert Billington",25,"Photographer","London"
"68","Simon",2,1,9,"Guinness and Chocolate Cupcakes","Two-Tiered Chocolate Courgette Cake","IN","Simon Blackwell",31,"Rugby Coach","Norfolk"
"69","Urvashi",2,1,7,"Cherry Blossom CupcakesJapanese Lime Cupcakes",NA,"IN","Urvashi Roe",40,"Head of Marketing","Enfield, London"
"70","Yasmin",2,1,5,"Cardamom and Pomegranate Cupcakes",NA,"IN","Yasmin Limbert",43,"Childminder","West Kirby, The Wirral"
"71","Keith",2,1,12,"Earl Grey Cupcakes","Chocolate and Sour Cream Cake","OUT","Keith Batsford",31,"House husband","Arlesey, Bedfordshire"
"72","Holly",2,1,1,"Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle",NA,"STAR BAKER","Holly Bell",31,"Advertising executive","Leicester"
"73","Ben",2,2,1,"Chorizo, Pepper and Gruyere Quiche","Lemon Meringue Tarts","IN","Ben Frazer",31,"Graphic Designer","Northampton"
"74","Holly",2,2,4,"Pesto Quiche","Milk Chocolate and Pistachio TartsTrifle Tarts","IN","Holly Bell",31,"Advertising executive","Leicester"
"75","Ian",2,2,2,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",NA,"IN","Ian Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire"
"76","Janet",2,2,8,"Quiche Printanière","Red Fruit TartsChocolate and Cherry Tarts","IN","Janet Basu",63,"Teacher of Modern Languages","Formby, Liverpool"
"77","Joanne",2,2,10,"Caramelised Onion, Gruyere and Thyme Quiche","Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust","IN",NA,NA,NA,NA
"78","Mary-Anne",2,2,9,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche","Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts","IN","Mary-Anne Boermans",45,"Housewife","Kidderminster, Worcestershire"
"79","Robert",2,2,5,"Smoked Bacon and Kale Quiche","Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart","IN","Robert Billington",25,"Photographer","London"
"80","Urvashi",2,2,7,"Crab, Coriander and Coconut Quiche","Strawberry and Basil TartsElderflower and Honeycomb Tarts","IN","Urvashi Roe",40,"Head of Marketing","Enfield, London"
